date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:55:38	37158/37158	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Oct%202023%2017:25:37%20GMT	https://motimahaldelux.in/news-room/	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/news-room/index.html	(from https://motimahaldelux.in/)
22:55:38	32616/32616	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Oct%202023%2017:25:37%20GMT	https://motimahaldelux.in/catering-services/	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/catering-services/index.html	(from https://motimahaldelux.in/)
22:55:39	43949/43949	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Oct%202023%2017:25:37%20GMT	https://motimahaldelux.in/coverage/	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/coverage/index.html	(from https://motimahaldelux.in/)
22:55:39	68003/68003	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Mar%202019%2012:38:14%20GMT	https://motimahaldelux.in/wp-content/uploads/2019/03/indian-food.jpg	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-content/uploads/2019/03/indian-food.jpg	(from https://motimahaldelux.in/)
22:55:39	32051/32051	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Oct%202023%2017:25:37%20GMT	https://motimahaldelux.in/contact-us/	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/contact-us/index.html	(from https://motimahaldelux.in/)
22:55:39	35143/35143	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Oct%202023%2017:25:38%20GMT	https://motimahaldelux.in/about-us/	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/about-us/index.html	(from https://motimahaldelux.in/)
22:55:40	38323/38323	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Mar%202019%2011:59:18%20GMT	https://motimahaldelux.in/wp-content/uploads/2019/03/italian-food.jpg	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-content/uploads/2019/03/italian-food.jpg	(from https://motimahaldelux.in/)
22:55:40	51592/51592	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Mar%202019%2012:38:28%20GMT	https://motimahaldelux.in/wp-content/uploads/2019/03/drinks.jpg	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-content/uploads/2019/03/drinks.jpg	(from https://motimahaldelux.in/)
22:55:41	38077/38077	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Mar%202019%2012:59:04%20GMT	https://motimahaldelux.in/wp-content/uploads/2019/03/our-philosophy.jpg	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-content/uploads/2019/03/our-philosophy.jpg	(from https://motimahaldelux.in/)
22:55:42	12493/12493	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Feb%202019%2005:54:46%20GMT	https://motimahaldelux.in/wp-content/uploads/2019/02/footer-logo.png	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-content/uploads/2019/02/footer-logo.png	(from https://motimahaldelux.in/)
